Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Austria,AUT,2000,3191.95109090312,1132.96654365786,4024.482194787981,1175.53449405785,721.25248647778,720.16871453806,395.55542888279,2408.93339184985,881.66222405965,340.76606820034,24487.2974685956,4.687,9.38934517,8011566.0,29.0,66.7690238969566,33.7301329516915,387.6,19.75339006,Western Europe/Nordics
Austria,AUT,2001,3193.76227885917,1143.96935473429,4046.93865285057,1173.43346336544,723.01540475384,719.73643308071,394.02723347365,2414.2307641750504,875.54812737039,342.04519286385,24430.495982841,4.007,9.45243549,8042293.0,29.166666666666668,66.8408161285718,39.1854501811114,398.9,18.50804797,Western Europe/Nordics
Austria,AUT,2002,3196.6706985528,1158.01938111526,4069.55473867696,1173.68863707546,724.9061630006099,717.1633932984,390.39810842697,2420.6197520773803,867.4762034558701,343.3748352948,26334.862215032,4.852,9.59139919,8081957.0,29.33333333333333,66.8887457136458,36.56,406.0,19.41328131,Western Europe/Nordics
Austria,AUT,2003,3201.32952034232,1163.7890322285,4102.70181098445,1174.34082691778,727.31602935034,714.04017341321,385.44390435251,2425.31090774468,859.4868141676201,344.80000685882,32110.1159661425,4.779,9.69844246,8121423.0,29.5,66.9263574955092,42.7,414.4,17.98956024,Western Europe/Nordics
Austria,AUT,2004,3206.6035687505496,1163.50577585257,4147.044336281469,1173.52900399875,729.99471065723,711.8592723741,380.59223370584,2428.414976993,853.36732789286,346.1504894068,36614.2506533707,5.969,9.81532383,8171966.0,29.8,66.9558612872944,54.28,423.2000000000001,17.38306941,Western Europe/Nordics
Austria,AUT,2005,3209.69445730451,1179.51620129208,4189.25699660807,1168.1032997763,732.05073597833,711.62053541698,376.21653231174,2432.4972898548804,849.35234775877,347.08517869473,38157.37022862,5.682,9.71779728,8227829.0,28.7,66.9797950654143,58.0,434.8,17.22404687,Western Europe/Nordics
Austria,AUT,2006,3213.67005614302,1196.94539106679,4224.451739697361,1160.2736549552,734.24181205451,713.05817590651,372.35744173045,2538.14080044632,850.51671986085,347.92736729485,40382.2078298575,5.32,9.64073944,8268641.0,29.6,67.0006968062814,63.6,447.7000000000001,16.27585693,Western Europe/Nordics
Austria,AUT,2007,3217.66288744892,1214.07538811055,4267.20202008432,1151.08954339298,736.44849211668,714.7290183682501,367.85903956852,2549.7731863130502,856.4550375138801,348.76155741334003,46622.9622913635,4.909,9.60482597,8295487.0,30.6,67.0211044863084,69.37,456.2000000000001,15.97506872,Western Europe/Nordics
Austria,AUT,2008,3220.46304511827,1234.30808676311,4304.3243619534005,1141.34332177756,738.52208754382,716.2811764168,362.83108459227,2599.7678808355,864.16083788304,349.56342093739,51581.3982361071,4.198,9.83415222,8321496.0,30.4,67.0435560819078,72.87,462.7,15.72351989,Western Europe/Nordics
Austria,AUT,2009,3222.3641326353995,1252.35104617353,4364.25106762394,1131.3560879704598,740.66029474382,717.71656502019,357.01792216327004,2641.71250246448,872.2880496016701,350.31899821297,47857.4446635266,5.371,10.31152916,8343323.0,31.5,67.0705895694924,73.45,472.2000000000001,15.84010038,Western Europe/Nordics
Austria,AUT,2010,3219.7411203505403,1279.07015025662,4412.69225325157,1121.42026603197,742.36877447532,718.56471046508,351.13368257426,2560.25301297096,877.6554770414001,350.81597907793,46611.1393420232,4.883,10.31620026,8363404.0,30.3,67.1047429254747,75.17,482.7,16.05188392,Western Europe/Nordics
Austria,AUT,2011,3194.4790660466,1301.28234590028,4460.93838028008,1112.1770172359,744.39023498977,719.30871035056,345.39463890205,2557.86190991566,883.07002156536,351.49255904472,51116.8953522042,4.637,10.1370182,8391643.0,30.8,67.1484255415056,78.7399930986888,487.5,16.26019349,Western Europe/Nordics
Austria,AUT,2012,3138.4814289262404,1329.7012969883,4524.54359644898,1102.37806810543,746.46501922408,719.89401038636,338.5888307841,2512.3499474458,891.18645177016,352.01512833927,48250.4059142637,4.909,10.30198097,8429991.0,30.5,67.2085909812279,80.0299939169903,492.69999999999993,16.16858631,Western Europe/Nordics
Austria,AUT,2013,3071.70184226195,1341.62400131413,4580.52280139421,1094.28697386015,749.15943340462,720.4202863059201,333.04245974071,2576.2727877461098,899.48367691774,352.60386314062,50305.3545774973,5.367,10.40574837,8479823.0,30.8,67.2981308784247,80.6188,501.8,16.09022946,Western Europe/Nordics
Austria,AUT,2014,3014.02588080268,1346.74739132749,4651.76651498642,1087.81921603417,752.2474316057401,720.64269803747,328.18062446186,2492.57886020804,905.87253542448,353.11527158404,51314.9722616322,5.674,10.51159096,8546356.0,30.5,67.4154327591781,80.9958249574764,507.6,16.58684824,Western Europe/Nordics
Austria,AUT,2015,2982.61563312845,1376.78034585383,4744.36194553355,1081.54055713857,754.70430317669,719.8897126570799,324.31964678961003,2548.57612252465,906.44641957237,353.03108468395,43915.228020857,5.802,10.51688385,8642699.0,30.5,67.5576175537383,83.9401419315026,512.4,16.06662435,Western Europe/Nordics
Austria,AUT,2016,2974.9904311778,1381.12392418697,4856.28240049584,1077.03150258877,758.00652365048,719.4434855665,321.457721774,2558.75026376012,898.75862247447,353.4055771281,45061.4993920192,6.064,10.51713753,8736668.0,30.8,67.7218061923556,84.3237425711653,512.9,15.63208325,Western Europe/Nordics
Austria,AUT,2017,2966.24353859574,1403.73400662372,4950.3888608352,1071.05686818636,760.6985556518899,718.40975120373,318.37314004873,2619.89191368936,880.9017382634701,353.68533833053,47163.7425775142,5.561,10.57132816,8797566.0,29.7,67.9051196052802,87.9355865856062,518.2,15.49870551,Western Europe/Nordics
Austria,AUT,2018,2958.46408443807,1415.26581528889,5027.95641576947,1064.81979716359,763.46448065218,717.64219785087,315.47609031758003,2623.59392785076,859.08492349555,354.15813188137,51194.0749841299,4.933,10.5157156,8840521.0,30.8,68.1046787227623,87.4791372262556,524.0999999999999,15.70385811,Western Europe/Nordics
Austria,AUT,2019,2952.11491997932,1426.37293834401,5085.74950433912,1058.9374544264,766.1340258500001,716.80958351152,313.54420232901,2590.49801085786,837.4239163850101,354.67599840952,49885.9947355204,4.56,10.62530422,8879920.0,30.2,68.3176044750522,87.7522047870069,531.8,14.58397745,Western Europe/Nordics
Austria,AUT,2020,2946.9393520897,1447.76411543332,6028.64362981906,1053.85238078766,768.40734153509,715.8740314041099,312.3199664572,3180.1047414699005,821.69911190317,354.92012153119,48716.4098900349,5.201,11.41292953,8916864.0,29.8,68.5410177924001,87.52942813,534.4,13.99737716,Western Europe/Nordics
