Country,Code,Year,Alcohol use disorders,Alzheimer's disease and other dementias,Anxiety disorders,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bipolar disorder,Conduct disorder,Depressive disorders,Drug use disorders,Schizophrenia,GDP per capita,Unemployment rate (%),Health expenditure (% GDP),Population,Gini index,Urban population (%),Internet users (% of population),Physicians per 100000,Suicide rate,Region
Austria,AUT,2022,2941.09254206661,1489.1959971016702,6433.219390781759,1047.41000467609,773.3470014862299,714.3856755347,312.9316578264,2980.89518167531,798.50816260019,355.50580231917,52336.7725223758,4.992,11.22519779,9041851.0,30.9,68.998085127906,93.61409139,543.2,,Western Europe/Nordics
Austria,AUT,2023,2973.02807547138,1501.9836269932,7266.7048305555,1045.25976844363,775.9263856928401,713.70505863629,313.79778241427,3111.57024077008,794.74889285967,355.61692975825,56579.504175468,5.264,11.15297318,9131761.0,31.2,69.2265358276021,95.33467117,551.5,,Western Europe/Nordics
Belgium,BEL,2022,2538.27123635653,1668.26515601433,7143.18008931674,853.66093139619,756.79000081906,695.7859908017999,384.94195068503,4410.41893469399,796.09083660056,338.61096510488,50639.0264882739,5.57,10.73976326,11680210.0,26.4,87.489200269855,94.00783071,357.4,,Western Europe/Nordics
Belgium,BEL,2023,2524.62231370695,1676.64528003456,8069.705966293909,852.0998113331299,759.16449385023,696.66381245878,385.42137260631,4460.96168943315,794.3393484416699,338.89683877123,55244.68145811,5.547,10.80371571,11779946.0,26.8,87.551492636772,94.62625074,,,Western Europe/Nordics
Bulgaria,BGR,2022,2109.20975739807,1321.74806021832,4437.42394530766,382.94342047699,533.12489144203,497.49248433139,307.1225584675,3643.05081826614,530.3508057875799,367.32309829071,13999.9113358453,4.148,7.63849449,6465097.0,38.2,73.4799164005224,79.12686326,432.8,,Eastern Europe
Bulgaria,BGR,2023,2286.56487099471,1278.61069566362,5044.18043288355,383.5144472636701,537.19461355162,498.07455570834,310.59623269407,3544.8458971219,529.37102370768,367.13093323156,15854.0192893772,4.319,7.91853094,6446596.0,39.5,73.7322671584613,80.38956462,,,Eastern Europe
Croatia,HRV,2022,2992.66490520822,1385.40004227786,7016.08922371565,394.08480069502,590.0948228113,560.87448485777,313.96645924705,2791.4946770982897,618.59169654626,370.83517614152,18465.531473659,6.811,7.29636335,3855641.0,30.0,56.9977571733605,82.07155532,390.9,,Eastern Europe
Croatia,HRV,2023,3193.48914863012,1404.57302813696,7988.79244850096,391.84994908033,593.22323048217,560.84466900349,313.66853900366,2848.86486985398,611.04413254339,370.14043578105,22183.4982258492,6.121,7.14699411,3859686.0,30.1,57.2431560672198,83.24117599,,,Eastern Europe
Cyprus,CYP,2022,1730.6223064820902,934.83077410061,9604.72621787038,887.65339898344,785.7524716451901,720.39430080963,353.43899911838,3526.4723116003697,653.5619567227201,356.42549779608,33231.05078125,6.806,8.27201366,1331370.0,31.5,66.6694829407584,89.60099194,355.6,,Mediterranean
Cyprus,CYP,2023,1757.05840167543,907.62238587153,10741.09632078891,895.17761488526,794.38310892706,720.12403015808,359.76322236609,3537.85242351462,651.569991965,356.65291142264005,36623.70703125,5.835,8.11912918,1344976.0,31.8,66.6739477522639,91.22110357,,,Mediterranean
