population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,688.28422672634,787.6503933645499,589.19348410003
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,257.87845939271,316.51188357295,201.90513305777003
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,3565.1804122776703,3913.22953225901,3219.55505632172
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,668.30414734458,749.0031118299,598.70868934172
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,3734.8333239361596,4786.89582664966,2882.0920834855797
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,527.85627016023,668.11045457782,424.9901724939
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,294,All causes,3,Rate,1995,96553.06964719568,97155.84542456218,95994.72257919253
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1995,670.73861353579,778.3143332511801,542.51575459097
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1995,730.8747848041401,848.51830946712,614.71430075793
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,559,Schizophrenia,3,Rate,1995,300.9674282987,368.34283616321,235.19772195276
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1995,1743.01073272479,2201.22931439719,1373.87781112201
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,561,Drug use disorders,3,Rate,1995,633.1604072239801,724.08449410679,548.07636546734
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,294,All causes,3,Rate,1994,96419.25313820963,97145.94471335426,95720.28679109084
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,3395.34336397488,4247.74722021142,2906.8754129066997
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,188.82771939823,253.65682312538,145.18506134538
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,750.7576120418299,1572.16312741391,343.93884012687
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,515.00082556148,684.78495347353,360.91441866043
1,All Population,5,Prevalence,60,Lithuania,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,465.15435378529,583.98787084637,347.18474500378
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1995,540.3513981810901,669.48332189374,433.11598633131996
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1995,5260.8619276194595,6536.48933573278,4394.9555865109405
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,572,Eating disorders,3,Rate,1995,222.14165125371,302.42203022322,169.08162399459002
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1995,553.49184101955,1196.78494421328,246.15011769395
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1995,512.5368567650099,714.9310977561099,351.69781004162996
1,All Population,5,Prevalence,55,Slovenia,3,Both,22,All ages,579,Conduct disorder,3,Rate,1995,447.64382114143,564.4554180474901,332.68237748588
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,331.07747075752,390.37193014141,281.37071952317
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2693.72150781408,3093.26067528997,2307.78368697745
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,796.23351536254,1000.9715285961,617.73694625294
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,756.06379303689,870.02706069655,636.2308558709
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,294,All causes,3,Rate,1994,98020.01901576381,98459.37094883822,97545.43880109981
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,334.03322879665,405.04313768629004,264.28492242219
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,3168.3793041409303,3864.0571555295896,2546.53247435097
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,1187.2834374383099,1327.3581345197501,1045.6617643731001
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,2478.17591158384,2813.00702568714,2122.4605254836897
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,514.9823189224201,598.40730123403,439.90924087489
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,3463.7676156379403,4389.64548995661,2849.87165650233
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,572,Eating disorders,3,Rate,1994,186.78931449528,250.00476225868,143.4139135492
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,575,Autism spectrum disorders,3,Rate,1994,549.59766785107,1353.52166387269,213.54834771533
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,578,Attention-deficit/hyperactivity disorder,3,Rate,1994,549.79013529523,771.93645166958,386.78436762123
1,All Population,5,Prevalence,51,Poland,3,Both,22,All ages,579,Conduct disorder,3,Rate,1994,590.1204480983899,729.9531820344,439.90454400577005
1,All Population,5,Prevalence,84,Ireland,3,Both,22,All ages,294,All causes,3,Rate,1994,93843.42383005994,94603.4340671884,93047.35410313115
1,All Population,5,Prevalence,52,Romania,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,328.60716809808997,378.32442787515,276.98341630846
