iter	RMSE
0	7.746338357
1	7.295884078
2	6.925905899
3	6.574490999
4	6.246014004
5	5.929947699
6	5.69733307
7	5.416072935
8	5.235543937
9	5.023882707
10	4.802568527
11	4.562757162
12	4.389498548
13	4.261612803
14	4.09024898
15	3.918429272
16	3.798481616
17	3.6411827
18	3.54098282
19	3.448751285
20	3.353898359
21	3.254048206
22	3.169550565
23	3.105180282
24	3.031952415
25	2.967602939
26	2.881114502
27	2.825021395
28	2.734266964
29	2.688531078
30	2.620112809
31	2.541752547
32	2.489035951
33	2.459026108
34	2.383101719
35	2.31946205
36	2.26852918
37	2.23702168
38	2.198228087
39	2.17779556
40	2.12319489
41	2.080692679
42	2.065173314
43	2.031970158
44	2.002190464
45	1.967072148
46	1.926179092
47	1.906014104
48	1.887283208
49	1.85237501
50	1.83407732
51	1.794296588
52	1.768006997
53	1.754487997
54	1.727410609
55	1.708488044
56	1.681606611
57	1.648423685
58	1.629689071
59	1.595990692
60	1.567222194
61	1.552645386
62	1.537751188
63	1.52382105
64	1.510594705
65	1.493157224
66	1.480029072
67	1.468377169
68	1.456635924
69	1.437053388
70	1.417561015
71	1.411372429
72	1.395502487
73	1.383837226
74	1.378372533
75	1.352125308
76	1.345203702
77	1.341500413
78	1.331786803
79	1.323103724
80	1.307249785
81	1.281044325
82	1.267905702
83	1.258669739
84	1.25185447
85	1.240648318
86	1.227102667
87	1.220899179
88	1.20508161
89	1.191370351
90	1.175212347
91	1.161110396
92	1.151250356
93	1.141617401
94	1.130139003
95	1.124562846
96	1.111495706
97	1.102814394
98	1.094311506
99	1.086571031
100	1.079017859
101	1.067826714
102	1.059104542
103	1.052877267
104	1.040649641
105	1.032056299
106	1.023854086
107	1.015472816
108	1.007003944
109	1.000885468
110	0.9941425663
111	0.9852923892
112	0.9788007493
113	0.97299443
114	0.9670610571
115	0.9596703691
116	0.950605437
117	0.9424656726
118	0.9353540144
119	0.930529755
120	0.9234522179
121	0.9160739783
122	0.9086643108
123	0.9035733316
124	0.8983574014
125	0.897483189
126	0.8925077817
127	0.88795858
128	0.8844961457
129	0.8812917776
130	0.8769920742
131	0.8762539604
132	0.8753953681
133	0.8699873198
134	0.8685760954
135	0.8624663133
136	0.8588046335
137	0.8500153486
138	0.8488484849
139	0.8448486959
140	0.8403588841
141	0.8363171574
142	0.8340799203
143	0.8278433496
144	0.8248023061
145	0.8208983628
146	0.8182946973
147	0.8132048479
148	0.8082529418
149	0.8053731026
150	0.8005590331
151	0.7963895553
152	0.792445693
153	0.7905293341
154	0.7888568361
155	0.7882447238
156	0.7833863188
157	0.7783881317
158	0.7775703312
159	0.7738773167
160	0.7698201179
161	0.7678983117
162	0.7643016858
163	0.7620878401
164	0.7610556478
165	0.7579954913
166	0.7568843639
167	0.7527921773
168	0.7492066005
169	0.74773862
170	0.7467233546
171	0.7451140283
172	0.7431134557
173	0.7397149134
174	0.7380108375
175	0.7342411561
176	0.7336864447
177	0.7303482014
178	0.7271044135
179	0.7266409959
180	0.7259157587
181	0.7248941155
182	0.7210145439
183	0.718613931
184	0.7183037246
185	0.7178549257
186	0.715174855
187	0.7145705617
188	0.7124022021
189	0.7120638602
190	0.7113589403
191	0.708761944
192	0.7084518961
193	0.7079574573
194	0.7075678356
195	0.705971937
196	0.7036115017
197	0.7029138399
198	0.7015829176
199	0.7006139358
200	0.6977508176
201	0.697376625
202	0.6963671882
203	0.6955106845
204	0.6952533989
205	0.6941694971
206	0.6928789511
207	0.6921523378
208	0.6919547652
209	0.6897314402
210	0.6852319464
211	0.6846482
212	0.6826855212
213	0.6811030748
214	0.6796630929
215	0.6771081808
216	0.6763272938
217	0.6729812484
218	0.6699722408
219	0.6687916313
220	0.6686103576
221	0.6665146764
222	0.6662410432
223	0.6655955811
224	0.6632809223
225	0.660713759
226	0.657824623
227	0.6570952296
228	0.6568401345
