iter	Passed	Remaining
0	1	454
1	2	412
2	2	365
3	3	341
4	4	331
5	4	320
6	5	312
7	6	308
8	7	306
9	7	298
10	8	295
11	9	292
12	9	290
13	10	288
14	11	285
15	11	283
16	12	282
17	13	280
18	13	278
19	14	278
20	15	280
21	16	282
22	17	281
23	17	279
24	18	277
25	19	275
26	19	274
27	20	271
28	21	269
29	21	267
30	22	265
31	22	263
32	23	261
33	24	260
34	24	258
35	25	257
36	26	256
37	26	255
38	27	255
39	28	253
40	28	253
41	29	254
42	30	254
43	31	253
44	31	251
45	32	250
46	33	249
47	33	247
48	34	246
49	35	245
50	35	244
51	36	242
52	36	241
53	37	240
54	38	239
55	38	237
56	39	236
57	40	235
58	40	234
59	41	233
60	41	232
61	42	231
62	43	231
63	44	232
64	45	232
65	45	231
66	46	230
67	46	229
68	47	227
69	48	227
70	48	226
71	49	225
72	50	224
73	50	223
74	51	222
75	52	222
76	52	220
77	53	219
78	53	219
79	54	218
80	55	217
81	55	216
82	56	215
83	57	215
84	57	214
85	58	214
86	59	214
87	60	213
88	60	212
89	61	211
90	62	210
91	62	210
92	63	209
93	64	208
94	64	207
95	65	207
96	66	206
97	66	205
98	67	205
99	68	205
100	68	204
101	69	203
102	70	202
103	71	202
104	71	202
105	72	201
106	73	201
107	74	200
108	74	199
109	75	198
110	75	197
111	76	197
112	77	196
113	77	195
114	78	194
115	79	194
116	79	193
117	80	192
118	81	192
119	82	191
120	82	191
121	83	190
122	84	189
123	84	188
124	85	188
125	86	188
126	87	187
127	87	186
128	88	186
129	89	185
130	89	184
131	90	183
132	91	182
133	91	182
134	92	181
135	93	180
136	93	180
137	94	179
138	95	178
139	95	178
140	96	177
141	97	176
142	97	175
143	98	175
144	99	174
145	99	173
146	100	173
147	101	173
148	102	172
149	103	171
150	103	170
151	104	170
152	104	169
153	105	168
154	106	167
155	106	167
156	107	166
157	108	165
158	108	164
159	109	164
160	110	163
161	110	162
162	111	161
163	111	161
164	112	160
165	113	159
166	114	159
167	115	159
168	115	158
169	116	157
170	117	157
171	117	156
172	118	155
173	119	154
174	119	154
175	120	153
176	121	152
177	121	151
178	122	151
179	123	150
180	123	150
181	124	149
182	125	148
183	125	147
184	126	147
185	127	146
186	128	145
187	129	145
188	129	144
189	130	144
190	131	143
191	131	142
192	132	141
193	132	141
194	133	140
195	134	139
196	135	139
197	135	138
198	136	137
199	136	136
200	137	136
201	138	135
202	138	134
203	139	133
204	139	133
205	140	132
206	141	131
207	142	131
208	142	130
209	143	130
210	144	129
211	145	128
212	145	128
213	146	127
214	147	126
215	147	125
216	148	125
217	149	124
218	149	123
219	150	123
220	150	122
221	151	121
222	152	120
223	152	120
224	153	119
225	154	118
226	154	117
227	155	117
228	155	116
229	156	115
230	157	115
231	158	114
232	158	113
233	159	113
234	160	112
235	160	111
236	161	110
237	162	110
238	162	109
239	163	108
240	164	108
241	164	107
242	165	106
243	165	106
244	166	105
245	167	104
246	167	103
247	168	103
248	169	102
249	170	102
250	171	101
251	171	100
252	172	100
253	173	99
254	173	98
255	174	98
256	175	97
257	175	96
258	176	96
259	177	95
260	177	94
261	178	93
262	178	93
263	179	92
264	180	91
265	180	91
266	181	90
267	182	89
268	182	88
269	183	88
270	184	87
271	185	87
272	185	86
273	186	85
274	187	85
275	188	84
276	188	83
277	189	83
278	190	82
279	191	81
280	191	81
281	192	80
282	193	79
283	193	79
284	194	78
285	195	77
286	195	77
287	196	76
288	197	75
289	197	75
290	198	74
291	199	73
292	200	73
293	200	72
294	201	71
295	202	71
296	202	70
297	203	69
298	204	68
299	204	68
300	205	67
301	205	66
302	206	66
303	207	65
304	207	64
305	208	64
306	209	63
307	209	62
308	210	61
309	211	61
310	211	60
311	212	60
312	213	59
313	214	58
314	214	57
315	215	57
316	216	56
317	216	55
318	217	55
319	218	54
320	218	53
321	219	53
322	220	52
323	220	51
324	221	51
325	222	50
326	222	49
327	223	48
328	223	48
329	224	47
330	224	46
331	225	46
332	226	45
333	227	44
334	228	44
335	228	43
336	229	42
337	229	42
338	230	41
339	231	40
340	231	40
341	232	39
342	233	38
343	233	38
344	234	37
345	234	36
346	235	35
347	235	35
348	236	34
349	237	33
350	237	33
351	238	32
352	239	31
353	239	31
354	240	30
355	242	29
356	242	29
357	243	28
358	243	27
359	244	27
360	245	26
361	245	25
362	246	25
363	247	24
364	247	23
365	248	23
366	248	22
367	249	21
368	250	21
369	250	20
370	251	19
371	252	18
372	252	18
373	253	17
374	255	17
375	256	16
376	257	15
377	257	14
378	258	14
379	258	13
380	259	12
381	260	12
382	260	11
383	261	10
384	261	10
385	262	9
386	263	8
387	263	8
388	264	7
389	264	6
390	265	6
391	266	5
392	266	4
393	267	4
394	268	3
395	269	2
396	269	2
397	270	1
398	271	0
399	271	0
