Code,Split,RMSE,converged
AUT,Test,0.6443,True
AUT,Val,1.866,True
BEL,Test,0.8203,True
BEL,Val,1.2393,True
BGR,Test,1.136,True
BGR,Val,2.3889,True
CYP,Test,2.093,True
CYP,Val,4.0384,True
CZE,Test,1.5772,True
CZE,Val,1.9134,True
DEU,Test,0.7001,True
DEU,Val,1.0742,True
DNK,Test,0.3249,True
DNK,Val,0.8846,True
ESP,Test,0.391,True
ESP,Val,0.9145,True
EST,Test,2.3528,True
EST,Val,4.5315,True
FIN,Test,1.1345,True
FIN,Val,1.5315,True
FRA,Test,0.8617,True
FRA,Val,1.5125,True
GRC,Test,0.2097,True
GRC,Val,0.7224,True
HRV,Test,0.5959,True
HRV,Val,0.7644,True
HUN,Test,2.0636,True
HUN,Val,1.5714,True
IRL,Test,2.587,True
IRL,Val,2.9943,True
ITA,Test,0.3582,True
ITA,Val,0.3588,True
LTU,Test,1.3306,True
LTU,Val,4.2643,True
LUX,Test,0.9366,True
LUX,Val,0.9001,True
LVA,Test,3.1152,True
LVA,Val,2.1174,True
MLT,Test,1.2429,True
MLT,Val,1.5393,True
NLD,Test,0.869,True
NLD,Val,0.2496,True
POL,Test,4.2668,True
POL,Val,5.0269,True
PRT,Test,2.7708,True
PRT,Val,4.0198,True
ROU,Test,1.2526,True
ROU,Val,1.8255,True
SVK,Test,2.4118,True
SVK,Val,2.0931,True
SVN,Test,3.1087,True
SVN,Val,4.5362,True
SWE,Test,0.5395,True
SWE,Val,0.8269,True
